"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","FOOTPRINT3","FOOTPRINT4","AUTOMOTIVE","CAPACITANCE","CASE CODE (IMPERIAL)","CASE CODE (METRIC)","CASE/PACKAGE","CATEGORY","COMMENT","COMPONENTLINK2URL","CURRENT RATING","DATASHEET URL","DEPTH","FREQUENCY","GENDER","HEIGHT","IMPEDANCE","LENGTH","MANUFACTURER","MANUFACTURER PART NUMBER","MANUFACTURER URL","MAX POWER DISSIPATION","MOUNT","MOUSER DESCRIPTION","NUMBER OF CIRCUITS","NUMBER OF PINS","NUMBER OF TERMINATIONS","PACKAGE","PACKAGE REFERENCE","PACKAGEDESCRIPTION","PACKAGEREFERENCE","PACKAGEVERSION","PART NUMBER","PARTNUMBER","PITCH","POWER RATING","RESISTANCE","SERIES","TERMINATION","TEST FREQUENCY","VALUE","VOLTAGE RATING","VOLTAGE RATING (DC)","WIDTH","SHEETPART","DESIGNATOR","DESCRIPTION"
"04","SO14","","","","","","","","","","04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74ACT04","","","","*","D?","04"
"06","SO14","","","","","","","","","","06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74HCT06","","","","*","D?","06"
"07","SO14","","","","","","","","","","07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74HCT07","","","","*","D?","07"
"138","SO16","","","","","","","","","","138","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74HCT138","","","","*","D?","138"
"ATXPOWER","ATXPOWER","","","","","","","","","","ATXPOWER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","","","","*","PWR?","ATXPOWER"
"BAT54C","SOT-23","","","","","","","","","","BAT54C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BAT54C","","","","*","VD?","BAT54C"
"BC847","SOT-23","","","","","","","","","","BC847","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BC847","","","","*","VT?","BC847"
"CH340G","SOIC127P600X180-16N","","","","","","","","","","CH340G","","","","","","","","","","","","","","","","","","","None","","","","","","","","","","","","","CH340G","","","","","D?","USB Interface Integrated Circuit"
"CMP-0004-00046-1","TI-D16_N","TI-D16_L","TI-D16_M","","","","","","","","TLC7524CD","http://www.ti.com/general/docs/lit/getliterature.tsp?genericPartNumber=TLC7524&fileType=pdf","","","","","","","","","Texas Instruments","TLC7524CD","","","","","","","","","","16-Pin Plastic Small Outline, Body 9.9 x 3.9 mm, Pitch 1.27 mm","D16","4040047-6/M, 06/2011","","TLC7524CD","","","","","","","TLC7524CD","","","","","U?","8-Bit, 0.1 us MDAC, Parallel Input, Fast Control Signalling for DSP, Easy Micro Interface, 0 to 70 degC, 16-pin SOIC (D16), Green (RoHS & no Sb/Br)"
"CMP-0062-01638-4","DCY0004A_L","DCY0004A_M","DCY0004A_N","","","","","","","","LM1117MP-3.3/NOPB","","","","","","","","","","Texas Instruments","LM1117MP-3.3/NOPB","","","","","","","","","","Molded SOT-223, 6.50 x 3.56 x 1.6mm Body, 4 Lead, 2.3mm Pitch","DCY0004A","","","LM1117MP-3.3/NOPB","","","","","","","LM1117MP-3.3/NOPB","","","","","DA?","800mA Low-Dropout Linear Regulator, 4-pin SOT-223, Pb-Free"
"CMP-0062-01660-4","DCY0004A_M","DCY0004A_N","DCY0004A_L","","","","","","","","LM1117MP-2.5/NOPB","","","","","","","","","","Texas Instruments","LM1117MP-2.5/NOPB","","","","","","","","","","Molded SOT-223, 6.50 x 3.56 x 1.6mm Body, 4 Lead, 2.3mm Pitch","DCY0004A","","","LM1117MP-2.5/NOPB","","","","","","","LM1117MP-2.5/NOPB","","","","","DA?","800mA Low-Dropout Linear Regulator, 4-pin SOT-223, Pb-Free"
"CMP-0144-00216-1","TQFP100_M","TQFP100_L","TQFP100_N","","","","","","","","EPM240T100C5","","","","","","","","","","Intel Altera","EPM240T100C5","","","","","","","","","","100-Pin Plastic Thin Quad Flat Pack (TQFP100) - Wire Bond","TQFP100","ver15.1, May-2008","","","","","","","","","EPM240T100C5","","","","","U?","MAX II 3.3/2.5V CPLD, 80 IOs, 240 Logic Elements, 100-Pin Plastic TQFP, Commercial Temperature, Speed Grade 5"
"CMP-02407-004529-1","FP-CRCW0805-HPe3-IPC_A","FP-CRCW0805-HPe3-IPC_B","FP-CRCW0805-HPe3-MFG","FP-CRCW0805-HPe3-IPC_C","","","0805","2012","0805","","CRCW08051K00FKEAHP","","","","1.25mm","","","0.5mm","","2mm","Vishay Dale","CRCW08051K00FKEAHP","","","Surface Mount","","","2","","","","","","","","","","330mW","1kR","","Solder","","1k?","150V","150V","1.2mm","","R?","RES Thick Film, 1k?, 1%, 0.5W, 100ppm/°C, 0805"
